table,rows
accounts,0
admin,1
admin_active_sessions,1
admin_audit_logs,141
admin_two_factor_auth,1
adviser,11
adviser_batch,38
announcements,0
batches,0
certificate,0
comments,0
counseling_req,0
curriculum_courses,542
curriculum_feedback,0
cvsucarmona_courses,382
cvsucarmona_courses_backup_20260327_224348,1770
eligilibity_cond,0
employers,0
employment_history,0
event,0
event_req,0
failed_jobs,0
forum_posts,0
good_moral_req,0
graduates,0
job_applications,0
job_approvals,0
job_postings,0
login_lockouts,122
matching_algorithm,0
migrations,4
notification,0
ojt_records,0
password_history,191
password_reset_tokens,0
password_resets,10
personal_access_tokens,0
placement_repo,0
profile_completion_trac,0
program_coordinator,45
program_curriculum_years,3
program_shift_approvals,10
program_shift_audit,21
program_shift_credit_map,7
program_shift_requests,1
programs,2
rate_limits,3
recommendations,0
required_skills,0
scholarship,0
stud_educ_background,0
student_checklists,9402
student_current_enrollment_courses,136
student_current_enrollments,16
student_email_verifications,3
student_info,350
student_masterlist,350
student_rejection_log,0
student_skills,0
student_study_plan_course_additions,0
student_study_plan_overrides,1
system_settings,24
users,0
